"TIPO";"CO_ANO";"NO_PAIS";"NO_FAT_AGREG";"VL_FOB";"KG_LIQUIDO"
"IMPORTAÇÕES";"2012";"China";"Produtos Manufaturados";33423140931;8550492850
"IMPORTAÇÕES";"2012";"China";"Produtos Semimanufaturados";104266004;58926149
"IMPORTAÇÕES";"2013";"China";"Produtos Básicos";852482834;902726265
"IMPORTAÇÕES";"2013";"China";"Produtos Manufaturados";36386023542;10516825982
"IMPORTAÇÕES";"2013";"China";"Produtos Semimanufaturados";65311110;26443399
"IMPORTAÇÕES";"2014";"China";"Produtos Básicos";672732195;978052934
"IMPORTAÇÕES";"2014";"China";"Produtos Manufaturados";36579390883;11561286853
"IMPORTAÇÕES";"2014";"China";"Produtos Semimanufaturados";92862501;38297695
"IMPORTAÇÕES";"2015";"China";"Produtos Básicos";758981433;1720561230
"IMPORTAÇÕES";"2015";"China";"Produtos Manufaturados";29843309207;9102068896
"IMPORTAÇÕES";"2015";"China";"Produtos Semimanufaturados";117114382;92839578
"IMPORTAÇÕES";"2016";"China";"Produtos Básicos";636883444;807503533
"IMPORTAÇÕES";"2016";"China";"Produtos Manufaturados";22641460012;7343610174
"IMPORTAÇÕES";"2016";"China";"Produtos Semimanufaturados";85651333;75184461
"IMPORTAÇÕES";"2017";"China";"Produtos Básicos";222948445;294579769
"IMPORTAÇÕES";"2017";"China";"Produtos Manufaturados";7808564295;2523310665
"IMPORTAÇÕES";"2017";"China";"Produtos Semimanufaturados";21603182;10994864
